,Comment,Label
1,"P1 kiệt tác mọi thời đại rồi nên cũng đừng kì vọng p2 cũng phải ngang tầm, chỉ cần chất lượng ổn áp là đủ rồi",neutral
2,"p2 gần như là 1 phần bôi nhọ p1 , ai lại có thể nghĩ ra main p2 là con của bà công chúa p1 ngoại tình với maximus chứ, phản diện bị giai quyết 1 cách vớ vẩn lãng xẹt ko rõ động cơ nữa. Tóm lại so với p1 thì là 5/10 đó là chấm xông xênh lắm rồi đó",negative
3,"năm nay kiểu gì toàn bom tấn thành bom xịt , phim đầu tư nhiều tiền mà khổ nỗi kinh bản với nội dung xem bán thôi dồi .phim giờ chất lượng đi xuống quá nhiều",negative
4,"Đúng là cảm xúc ở các đoạn cao trào vẫn làm chưa tới, vẫn thiếu thiếu",neutral
5,"Phim khúc cuối nó dở 1 cái, như phim Việt Nam",negative
6,"Nếu ko biến Lucius/Hanno thành con trai của Maximus và Lucilla thì phim vẫn sẽ ổn, thậm chí hay hơn. Thay vì là cha ruột, Maximus có thể trở thành father figure hoặc niềm hy vọng cho Lucius khi bị mất đi tất cả và biến thành đấu sĩ.",neutral
7,"P2 chắc 6/10 so với phần 1
Tui đi xem mà chả có tý cảm xúc nào cả 
Biết thế đi xem phim khác hay hơn",negative
8,sao coi phần 1 ko thấy chi tiết nào nói lucius là con trai của maximus z??,neutral
9,phí tiền,negative
10,Phần 2 nhân vật chính có giáp cốt truyện,positive
11,"Phim tốt cho đến đoạn bắt phản động, sau đấy nó tệ và ngu ngơ 1 cách khó hiểu :)), xong cho Lucius thành còn Maximus khó hiểu vkl (phần 1 ai chả biết Maximus yêu vợ con như nào, chả nhẽ ngoại tình?), rồi liên tục spam Maximus trong khi phần đầu cái hành động bốc cát của Lucius là hoàn hảo rồi -> phim này chắc 5/10, hay nhất chắc phần dàn dựng và hình ảnh và diễn xuất của Denzel, ông dv chính diễn ổn mà khẩu hình tệ vc (giọng đặc British)",neutral
12,"Đúng là cho chi tiết Lucius là con trai Maximus hơi dở, vì phần 1 chỉ có 1 xíu hint 2 ng này yêu nhau thôi chứ k có hint con cái gì😢 để Lucius coi Maximus là ng truyền cảm hứng thôi là phim quá hay rồi.
Còn nếu mà là con của maximus thì chắc kiểu ông ý vs bà ý yêu nhau từ trc mà k đến dc vs nhau, có thể vì bà ý phải đi lấy chồng hôn nhân sắp đặt, 2 ng chia tay, bả có bầu k cho ổng biết 🤣",negative
13,Phần 2 không có Hans Zimmer làm nhạc cảm giác phim mất đi một nửa tính sử thi hùng tráng rồi. Nói chung xem cũng hay đánh giá 7/10 so với phần 1. Gì chứ phim sử thi chiến tranh của cụ Ridley nó vẫn ở tầm đỉnh cao của thế giới rồi nên mấy bạn chê cũng tém tém lại đi,positive
14,"Mọi người  có thấy cách bộ phim giải quyêt khúc cao trào cuối phim thật sự qua loa và thiếu chiều sâu 0.  khi mà 1 kẻ lọc lõi và quỷ quyệt như tay chủ nô do Diêzel thủ vai lại chọn cách liều lĩnh giáp lá cà với 1 thanh niên trẻ khoẻ đang độ tuổi sung mãn 1 cách liều lĩnh và rât 0 cần thiêt như vậy. trong khi trong tay hắn ta đã nắm giữ quyền lực của quân đội qua biêt bao âm mưu và công sức. 1 số đoạn hanno thuyêt trình với cac đồng đội về danh dự hay niềm tin cũng hơi gượng ép l, kể cả tình tiêt công nhận hanno là con ruột của maximus nữa.1 số sạn khá là lộ liễu như khâu an ninh phòng giam hoặc kiểm soat nô lệ trong của phí quân đội la mã và cận vệ trong đấu trường ( cảm giác quá lỏng lẻo)  chắc phim chỉ xứng 7 /10 thôi.. âm thanh hình ảnh tuyệt vời nhưng kịch bản hơii yếu. 0 được kịch tính, bùng nổ và thoả mãn như kỳ vọng sau hơn 20 năm chờ đợi. Thật sự hơi tiếc vì đáng ra phim có thể làm được nhiều hơn   😢. T",neutral
15,"Vô rạp coi mà cứ muốn skip qua mấy phân đoạn nói chuyện để xem đánh nhau, phải nói là cốt truyện nhạt nhẽo.",negative
16,muon hay thi phim phai 4 tieng tro len vi nhip phim qua nhanh,neutral
17,"Ridley scott trịch thượng ở chỗ luôn tự cho mình là đúng về mặt lịch sử. Lịch sử của 1 dân tộc, 1 đất nước khác mà ông ta chế cháo tiểu tiết thì không nói làm gì, hư cấu cái gì thì hư cấu...nhưng phần 2 này ""dám"" cho diễn viên denzel washington thủ vai quan chức la mã là bậy lắm rồi",negative
18,"Thật sự mình cảm thấy p2 mạch phim rất ép đặt chứ ko hề tự nhiên như p1. Từ đoạn Lucios bị ép vào đấu trường xong thêm quả Lucios là con của Maximus, liệu đạo diễn nghĩ rằng làm thế để Lucios thừa hưởng ý chí chiến đấu, khả năng lãnh đạo như người cha mình?",neutral
19,cảm giác đi coi phim này đều tầm 35 trở lên vì cái âm hưởng của phần 1,neutral
20,thế là thằn nhóc prince nắm tay maximus p1 cũng là con của ổng luôn à :)).. tướng này giỏi đấy múc dc cả con gái của vua :)),neutral
21,"Cá nhân mình thấy nội dung film có quá nhiều lỗ hổng, kịch bản rập khuôn phần 1, không đáng để ca tụng khen hết lời ( nghe như marketing). Mình xem phim khá khó tính nên phim không logic thì có nhiều điểm cộng đi nữa cũng không bù nổi. Cảm giác làm thêm 1 phần phim để vắt sữa dựa hơi phần 1, nếu không có phần 2 thì tựa Gladiator đã là 1 tựa phim bất hủ với mình. 
Về kỹ xảo, cảnh quay hay diễn xuất thì theo mình cái đó bắt buộc phải tốt với những phim tầm cỡ này.",negative
22,"lúc xem cũng k kỳ vọng nhiều lắm vì thấy Imdb đc có 7đ, mà xem thấy vẫn thất vọng, chỉ xứng làm cái bóng cho phần 1.",negative
23,Lúc xem phim thấy lucilia nói lucius là con Maximus là đã thấy thất vọng rồi…phần 01 kết rất đẹp…trả thù xong là lên thiên đàng với gia đình…trọn vẹn,negative
24,P2 coi chơi thì được chứ so sánh với  p1 thì khó lắm,neutral
25,Tự nhiên khúc cuối hai bên dàn quân xong đi về. Ít nhất cũng phải bem nhau cái rồi ông nội kia muốn đứng lên nói gì nói rồi hold lại không đánh nữa. Khúc cuối y như kiểu đi thì văn đang phân tích thấy sắp hết giờ cái kết bài vậy,negative
26,"cứ cho là con của Maximus thật đi thì cũng là con ngoài giá thú, hoàng tộc theo máu mẹ, k có lý do gì để mà tướng lĩnh cận vệ và quân viễn chinh Acasius thần phục luôn. 

Quả thù hận cũng chán, giết vợ nhưng là trên chiến trường, quả cố chấp khiến nó tù k đáng làm kẻ tranh ngôi, mà đã cố chấp thì cố chấp hẳn đi, sau lại quay ngoắt nhanh vc. Đang là người Nemia mà chớp phát đã thành con dân Rome :)))) Đoạn đấu sĩ nghe theo để phản động cũng hài, đấu sĩ là nô lệ, kêu gọi vì tự do với chiến đấu cho tranh ngôi của Hoàng tử Rome xong tất cả nghe theo là hài hước vô cùng. Mấy bài diễn văn cũng thật nhạt.

Thật sự là nhiều đoạn chán chả muốn liệt kê, quá thấy vọng cho hậu phần của 1 siêu phẩm.",negative
27,Điểm cộng duy nhất chắc là bác Pedro đẹp và diễn hợp,negative
28,"Hơn 20 năm trước mình cùng ba ngồi coi phần 1 trên TV, khi đó mới tí tuổi đầu chưa hiểu gì về danh dự võ sĩ mà vẫn ấn tượng và ghi nhớ mãi về người anh hùng Maximus. Người chống mất vợ, người cha mất con, người tướng mất chủ nhưng vẫn hiên ngang ngẩng cao đầu.
Tuần rồi quyết đưa cha xem tiếp phần 2 để ôn lại kỷ niệm xưa thì quả thật bức xúc tới nỗi muốn nắm tay ba bỏ về giữa buổi.
Ở phần 1 mình ấn tượng nhất là phân đoạn Maximus quyết tâm cứu Lucius vì nghĩ tới con trai đã mất của mình, đồng cảm với hoàn cảnh của cậu bé, vì biết cậu cũng ko còn cha. Sự thương cảm đó là tình cảm giữa con người với con người, thứ mà Commodus đã đánh mất trên con đường chiếm đoạt ngôi báu của mình.
Vậy mà qua đây thì bảo ông hi sinh để bảo vệ 'con trai', chẳng khác nào cú vả đau vào mặt những người hâm mộ và kính nể vì lòng thương người của ông. Ông thương cảm Lucius vì ông đã nếm trải nỗi đau mất vợ con nên ko muốn nỗi đau đó lặp lại với bất kỳ người mẹ người cha nào khác, chứ ko phải tầm thường như máu mủ ruột rà nên mới cứu, còn nếu ko chắc ngoảnh mặt đi.
Tiếc cho bản hùng thi của phần 1 bị đem ra làm chiêu trò hút máu cho phần phim này",negative
29,CGI là thứ giết chết điện ảnh nếu lạm dụng.,negative
30,"Gladiator II là một sản phẩm không nên tồn tại ngay từ đầu. Một tác phẩm thể loại sử thi.....mà sai sử đến 90%, không nắm bắt được cốt lõi thành công của phần I mà lại mang kỳ vọng kế thừa nó. Cứ như rằng nói con ông hàng xóm phải giống ông chồng nhà cạnh bên??? Làm phim cho khán giả chứ không phải cho sử gia. Đúng, nhưng khán giả lại không thích điều đó. Thật đáng tiếc cho Ridley Scott, khi mà giờ đây tên tuổi ông đại diện cho sự ""ngu ngốc"" và ""ngạo mạn""",negative
31,Nói chung là muốn xem trọn vẹn thì bà con tốt nhất nên Bỏ Não ở nhà và đừng ham hố xem lại phần 1,negative
